Producto;Usuario;Día;Turno;Avance_turno;Abosorción;TargetC
TIPO K;BernardoA;miércoles;Tarde;Medio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Medio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Medio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Medio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Medio;0.485;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;miércoles;Noche;Inicio;0.486;Sobrepeso
TIPO K;DivisorA;miércoles;Noche;Inicio;0.486;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Inicio;0.481;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;DivisorA;jueves;Noche;Medio;0.484;Sobrepeso
TIPO K;MauricioM;jueves;Mañana;Inicio;0.484;Sobrepeso
TIPO K;MauricioM;jueves;Mañana;Inicio;0.484;Sobrepeso
TIPO K;MauricioM;jueves;Mañana;Inicio;0.484;Sobrepeso
TIPO K;MauricioM;jueves;Mañana;Inicio;0.484;Sobrepeso
TIPO K;MauricioM;jueves;Mañana;Inicio;0.484;Sobrepeso
TIPO K;MauricioM;jueves;Mañana;Inicio;0.484;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;MauricioM;jueves;Mañana;Medio;0.485;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Término;0.486;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Término;0.486;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Término;0.486;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Término;0.486;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Término;0.486;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Término;0.486;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Término;0.486;Sobrepeso
