Producto;Día;User Name;Value;Turno;Avance_turno
TIPO K;miércoles;BernardoA;89,2;Tarde;Inicio
TIPO K;miércoles;BernardoA;91,4;Tarde;Inicio
TIPO K;miércoles;BernardoA;92;Tarde;Inicio
TIPO K;miércoles;BernardoA;88,4;Tarde;Inicio
TIPO K;miércoles;BernardoA;91,8;Tarde;Inicio
TIPO K;miércoles;BernardoA;85,6;Tarde;Inicio
TIPO K;miércoles;BernardoA;88,6;Tarde;Inicio
TIPO K;miércoles;BernardoA;89;Tarde;Inicio
TIPO K;miércoles;BernardoA;90,2;Tarde;Inicio
TIPO K;miércoles;BernardoA;88;Tarde;Medio
TIPO K;miércoles;BernardoA;90,8;Tarde;Medio
TIPO K;miércoles;BernardoA;89,8;Tarde;Medio
TIPO K;miércoles;BernardoA;89,4;Tarde;Medio
TIPO K;miércoles;BernardoA;91;Tarde;Medio
TIPO K;miércoles;BernardoA;89,4;Tarde;Término
TIPO K;miércoles;BernardoA;90,4;Tarde;Término
TIPO K;miércoles;BernardoA;85,4;Tarde;Término
TIPO K;miércoles;BernardoA;91,6;Tarde;Término
TIPO K;miércoles;BernardoA;87,6;Tarde;Término
TIPO K;miércoles;BernardoA;89;Tarde;Término
TIPO K;miércoles;BernardoA;90,2;Tarde;Término
TIPO K;miércoles;BernardoA;90;Tarde;Término
TIPO K;miércoles;BernardoA;85,8;Noche;Inicio
TIPO K;miércoles;DivisorA;86,6;Noche;Inicio
TIPO K;jueves;DivisorA;87,2;Noche;Inicio
TIPO K;jueves;DivisorA;90;Noche;Inicio
TIPO K;jueves;DivisorA;90;Noche;Inicio
TIPO K;jueves;DivisorA;89;Noche;Inicio
TIPO K;jueves;DivisorA;89,4;Noche;Inicio
TIPO K;jueves;DivisorA;88;Noche;Inicio
TIPO K;jueves;DivisorA;88;Noche;Inicio
TIPO K;jueves;DivisorA;86,8;Noche;Inicio
TIPO K;jueves;DivisorA;90,2;Noche;Inicio
TIPO K;jueves;DivisorA;90,8;Noche;Inicio
TIPO K;jueves;DivisorA;90,8;Noche;Inicio
TIPO K;jueves;DivisorA;88,6;Noche;Inicio
TIPO K;jueves;DivisorA;88,6;Noche;Inicio
TIPO K;jueves;DivisorA;90,2;Noche;Inicio
TIPO K;jueves;DivisorA;87,4;Noche;Medio
TIPO K;jueves;DivisorA;91,8;Noche;Medio
TIPO K;jueves;DivisorA;89,4;Noche;Medio
TIPO K;jueves;DivisorA;86,6;Noche;Medio
TIPO K;jueves;DivisorA;86,8;Noche;Medio
TIPO K;jueves;DivisorA;86,8;Noche;Medio
TIPO K;jueves;DivisorA;91,6;Noche;Medio
TIPO K;jueves;DivisorA;90,4;Noche;Medio
TIPO K;jueves;DivisorA;88,8;Noche;Medio
TIPO K;jueves;DivisorA;88,8;Noche;Medio
TIPO K;jueves;DivisorA;91,2;Noche;Medio
TIPO K;jueves;DivisorA;88,2;Noche;Medio
TIPO K;jueves;DivisorA;88,6;Noche;Medio
TIPO K;jueves;DivisorA;86,8;Noche;Medio
TIPO K;jueves;DivisorA;90,4;Noche;Medio
TIPO K;jueves;DivisorA;88,2;Noche;Medio
TIPO K;jueves;DivisorA;87,6;Noche;Medio
TIPO K;jueves;DivisorA;85,6;Noche;Medio
TIPO K;jueves;DivisorA;90;Noche;Medio
TIPO K;jueves;MauricioM;91;Mañana;Inicio
TIPO K;jueves;MauricioM;87;Mañana;Inicio
TIPO K;jueves;MauricioM;89,2;Mañana;Inicio
