Producto,Día,User Name,Value,Turno,Avance_turno
GRANDOTA,viernes,Practicante,92.4,Mañana,Inicio
GRANDOTA,viernes,Practicante,92.8,Mañana,Inicio
GRANDOTA,viernes,Practicante,89.2,Mañana,Inicio
GRANDOTA,viernes,Practicante,87.8,Mañana,Inicio
GRANDOTA,viernes,Practicante,94.8,Mañana,Inicio
GRANDOTA,viernes,Practicante,88.4,Mañana,Inicio
GRANDOTA,viernes,MauricioM,88.4,Mañana,Inicio
GRANDOTA,viernes,MauricioM,90.6,Mañana,Inicio
GRANDOTA,viernes,MauricioM,90.6,Mañana,Inicio
GRANDOTA,viernes,MauricioM,92.4,Mañana,Medio
GRANDOTA,viernes,MauricioM,88.4,Mañana,Medio
GRANDOTA,viernes,MauricioM,88.4,Mañana,Medio
GRANDOTA,viernes,MauricioM,92.8,Mañana,Medio
GRANDOTA,viernes,MauricioM,91.8,Mañana,Medio
GRANDOTA,viernes,MauricioM,92.8,Mañana,Medio
GRANDOTA,viernes,MauricioM,86,Mañana,Medio
GRANDOTA,viernes,MauricioM,87,Mañana,Medio
GRANDOTA,viernes,MauricioM,88.4,Mañana,Medio
GRANDOTA,viernes,MauricioM,87,Mañana,Medio
GRANDOTA,viernes,MauricioM,86.8,Mañana,Medio
GRANDOTA,viernes,MauricioM,89,Mañana,Medio
GRANDOTA,viernes,MauricioM,87.8,Mañana,Medio
GRANDOTA,viernes,MauricioM,89,Mañana,Medio
GRANDOTA,viernes,MauricioM,87.4,Mañana,Medio
GRANDOTA,viernes,MauricioM,86,Mañana,Medio
GRANDOTA,viernes,MauricioM,89.8,Mañana,Medio
GRANDOTA,viernes,MauricioM,89.6,Mañana,Medio
GRANDOTA,viernes,MauricioM,91,Mañana,Medio
GRANDOTA,viernes,MauricioM,88.2,Mañana,Medio
GRANDOTA,viernes,MauricioM,88,Mañana,Medio
GRANDOTA,viernes,MauricioM,88.8,Mañana,Medio
GRANDOTA,viernes,MauricioM,87,Mañana,Medio
GRANDOTA,martes,BernardoA,88,Noche,Medio
GRANDOTA,martes,BernardoA,89.2,Noche,Medio
GRANDOTA,martes,BernardoA,87.4,Noche,Medio
GRANDOTA,martes,BernardoA,90.2,Noche,Medio
GRANDOTA,martes,BernardoA,90.4,Noche,Medio
GRANDOTA,martes,BernardoA,88.4,Noche,Medio
GRANDOTA,martes,BernardoA,86.6,Noche,Medio
GRANDOTA,martes,BernardoA,88.4,Noche,Medio
GRANDOTA,martes,BernardoA,86.2,Noche,Medio
GRANDOTA,martes,BernardoA,88.2,Noche,Medio
GRANDOTA,martes,BernardoA,87.4,Noche,Medio
GRANDOTA,martes,BernardoA,87,Noche,Medio
GRANDOTA,martes,BernardoA,87,Noche,Medio
GRANDOTA,martes,BernardoA,90,Noche,Medio
GRANDOTA,martes,BernardoA,87.2,Noche,Medio
GRANDOTA,martes,BernardoA,89.4,Noche,Término
GRANDOTA,martes,BernardoA,88.6,Noche,Término
GRANDOTA,martes,BernardoA,89,Noche,Término
GRANDOTA,martes,BernardoA,89.6,Noche,Término
GRANDOTA,martes,BernardoA,87.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,87.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,87.6,Mañana,Inicio
GRANDOTA,martes,DivisorA,86.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,88,Mañana,Inicio
GRANDOTA,martes,DivisorA,93,Mañana,Inicio
GRANDOTA,martes,DivisorA,87.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,86.6,Mañana,Inicio
GRANDOTA,martes,DivisorA,88.6,Mañana,Inicio
GRANDOTA,martes,DivisorA,89.6,Mañana,Inicio
GRANDOTA,martes,DivisorA,89.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,88,Mañana,Inicio
GRANDOTA,martes,DivisorA,90.6,Mañana,Inicio
GRANDOTA,martes,DivisorA,88.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,89.6,Mañana,Inicio
GRANDOTA,martes,DivisorA,87,Mañana,Inicio
GRANDOTA,martes,DivisorA,91,Mañana,Inicio
GRANDOTA,martes,DivisorA,87.6,Mañana,Inicio
GRANDOTA,martes,DivisorA,89.8,Mañana,Inicio
GRANDOTA,martes,Practicante,89.8,Mañana,Inicio
GRANDOTA,martes,Practicante,89,Mañana,Inicio
GRANDOTA,martes,Practicante,89.2,Mañana,Inicio
GRANDOTA,martes,Practicante,89,Mañana,Inicio
GRANDOTA,martes,Practicante,89.2,Mañana,Inicio
GRANDOTA,martes,Practicante,90,Mañana,Inicio
GRANDOTA,martes,Practicante,86.8,Mañana,Inicio
GRANDOTA,martes,Practicante,91.2,Mañana,Inicio
GRANDOTA,martes,Practicante,92.2,Mañana,Inicio
GRANDOTA,martes,Practicante,87.4,Mañana,Inicio
GRANDOTA,martes,Practicante,89.4,Mañana,Inicio
GRANDOTA,martes,Practicante,86.4,Mañana,Inicio
GRANDOTA,martes,Practicante,87,Mañana,Inicio
GRANDOTA,martes,Practicante,90.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,88.8,Mañana,Inicio
GRANDOTA,martes,DivisorA,88.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,91.2,Mañana,Inicio
GRANDOTA,martes,DivisorA,91.2,Mañana,Inicio
GRANDOTA,martes,DivisorA,86.8,Mañana,Inicio
GRANDOTA,martes,DivisorA,90.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,91.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,91,Mañana,Inicio
GRANDOTA,martes,DivisorA,90.8,Mañana,Inicio
GRANDOTA,martes,DivisorA,91.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,93.4,Mañana,Inicio
GRANDOTA,martes,DivisorA,92.6,Mañana,Inicio
GRANDOTA,martes,DivisorA,91.6,Mañana,Inicio
GRANDOTA,martes,DivisorA,91.6,Mañana,Medio
GRANDOTA,martes,DivisorA,90.2,Mañana,Medio
GRANDOTA,martes,DivisorA,90.2,Mañana,Medio
GRANDOTA,martes,DivisorA,91.8,Mañana,Medio
GRANDOTA,martes,DivisorA,91.2,Mañana,Medio
GRANDOTA,martes,DivisorA,91,Mañana,Medio
GRANDOTA,martes,DivisorA,90.4,Mañana,Medio
GRANDOTA,martes,DivisorA,91.4,Mañana,Medio
GRANDOTA,martes,DivisorA,90.2,Mañana,Medio
GRANDOTA,martes,DivisorA,91.4,Mañana,Medio
GRANDOTA,martes,DivisorA,90.2,Mañana,Medio
GRANDOTA,martes,DivisorA,89.4,Mañana,Medio
GRANDOTA,martes,DivisorA,89.4,Mañana,Medio
GRANDOTA,martes,DivisorA,89.4,Mañana,Medio
GRANDOTA,martes,DivisorA,88.6,Mañana,Medio
