Producto,Usuario,Día,Turno,Avance_turno,Abosorción,Value
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Medio,48.8,Sobre_eso
TIPO K,Turno_A,martes,Mañana,Término,48,Sobre_eso
TIPO K,Turno_B,martes,Tarde,Inicio,47.7,Sobre_eso
TIPO K,Turno_B,martes,Tarde,Inicio,47.7,No_sobre_peso
TIPO K,Turno_B,martes,Tarde,Inicio,47.7,No_sobre_peso
TIPO K,Turno_B,martes,Tarde,Medio,48.7,Sobre_eso
TIPO K,Turno_B,martes,Tarde,Medio,48.7,No_sobre_peso
TIPO K,Turno_B,martes,Tarde,Medio,48.7,No_sobre_peso
TIPO K,Turno_B,martes,Tarde,Medio,48.7,No_sobre_peso
TIPO K,Turno_B,martes,Tarde,Medio,48.7,No_sobre_peso
TIPO K,Turno_B,martes,Tarde,Término,48.8,Sobre_eso
TIPO K,Turno_B,martes,Noche,Inicio,48.5,Sobre_eso
TIPO K,Turno_C,martes,Noche,Inicio,48.5,Sobre_eso
TIPO K,Turno_C,martes,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,martes,Noche,Inicio,48.5,Sobre_eso
TIPO K,Turno_C,martes,Noche,Inicio,48.5,Sobre_eso
TIPO K,Turno_C,martes,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,martes,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,martes,Noche,Inicio,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.5,No_sobre_peso
TIPO K,Turno_C,miércoles,Noche,Medio,48.6,No_sobre_peso
TIPO K,Turno_C,miércoles,Noche,Medio,48.6,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Medio,48.6,No_sobre_peso
TIPO K,Turno_C,miércoles,Noche,Medio,48.6,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Medio,48.6,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Término,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Término,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Término,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Término,48.5,Sobre_eso
TIPO K,Turno_A,miércoles,Mañana,Inicio,48.5,No_sobre_peso
TIPO K,Turno_A,miércoles,Mañana,Inicio,48.5,Sobre_eso
TIPO K,Turno_B,miércoles,Tarde,Inicio,48.5,Sobre_eso
TIPO K,Turno_B,miércoles,Tarde,Inicio,48.5,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Medio,48.5,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Medio,48.5,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Medio,48.5,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Medio,48.5,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Medio,48.5,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Medio,48.5,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Medio,48.5,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Medio,48.5,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Medio,48.5,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Término,48.4,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Término,48.4,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Término,48.4,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Término,48.4,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Término,48.4,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Término,48.4,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Término,48.4,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Término,48.4,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Término,48.4,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Término,48.4,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Término,48.4,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Término,48.4,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Término,48.4,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Término,48.4,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Término,48.4,Sobre_eso
TIPO K,Turno_A,lunes,Noche,Término,48.4,No_sobre_peso
TIPO K,Turno_A,lunes,Noche,Término,48.4,No_sobre_peso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,Sobre_eso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,Sobre_eso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,No_sobre_peso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,Sobre_eso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,Sobre_eso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,Sobre_eso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,Sobre_eso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,Sobre_eso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,Sobre_eso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,Sobre_eso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,No_sobre_peso
TIPO K,Turno_B,lunes,Mañana,Inicio,50.2,No_sobre_peso
TIPO K,Turno_B,miércoles,Mañana,Medio,48.5,Sobre_eso
TIPO K,Turno_B,miércoles,Mañana,Medio,48.5,Sobre_eso
TIPO K,Turno_B,miércoles,Mañana,Término,48.7,Sobre_eso
TIPO K,Turno_B,miércoles,Mañana,Término,48.7,Sobre_eso
TIPO K,Turno_B,miércoles,Mañana,Término,48.7,No_sobre_peso
TIPO K,Turno_B,miércoles,Mañana,Término,48.7,Sobre_eso
TIPO K,Turno_B,miércoles,Mañana,Término,48.7,No_sobre_peso
TIPO K,Turno_B,miércoles,Mañana,Término,48.7,No_sobre_peso
TIPO K,Turno_B,miércoles,Mañana,Término,48.7,Sobre_eso
TIPO K,Turno_B,miércoles,Mañana,Término,48.7,Sobre_eso
TIPO K,Turno_B,miércoles,Mañana,Término,48.7,Sobre_eso
TIPO K,Turno_B,miércoles,Mañana,Término,48.7,Sobre_eso
TIPO K,Turno_B,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,miércoles,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Externo,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Turno_C,miércoles,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Medio,48.5,No_sobre_peso
TIPO K,Turno_C,miércoles,Tarde,Medio,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Medio,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Medio,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Medio,48.5,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Término,48.3,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Término,48.3,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Término,48.3,No_sobre_peso
TIPO K,Turno_C,miércoles,Tarde,Término,48.3,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Término,48.3,No_sobre_peso
TIPO K,Turno_C,miércoles,Tarde,Término,48.3,No_sobre_peso
TIPO K,Turno_C,miércoles,Tarde,Término,48.3,Sobre_eso
TIPO K,Turno_C,miércoles,Tarde,Término,48.3,Sobre_eso
TIPO K,Turno_C,miércoles,Noche,Inicio,48.6,No_sobre_peso
TIPO K,Turno_A,miércoles,Noche,Inicio,48.6,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Inicio,48.1,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,Sobre_eso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,No_sobre_peso
TIPO K,Turno_A,jueves,Noche,Medio,48.4,Sobre_eso
TIPO K,Turno_B,jueves,Mañana,Inicio,48.4,Sobre_eso
TIPO K,Turno_B,jueves,Mañana,Inicio,48.4,No_sobre_peso
TIPO K,Turno_B,jueves,Mañana,Inicio,48.4,Sobre_eso
TIPO K,Turno_B,jueves,Mañana,Inicio,48.4,No_sobre_peso
TIPO K,Turno_B,jueves,Mañana,Inicio,48.4,Sobre_eso
TIPO K,Turno_B,jueves,Mañana,Inicio,48.4,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,No_sobre_peso
TIPO K,Externo,jueves,Mañana,Medio,48.5,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,No_sobre_peso
TIPO K,Externo,jueves,Mañana,Medio,48.5,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,No_sobre_peso
TIPO K,Externo,jueves,Mañana,Medio,48.5,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,No_sobre_peso
TIPO K,Externo,jueves,Mañana,Medio,48.5,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,Sobre_eso
TIPO K,Externo,jueves,Mañana,Medio,48.5,No_sobre_peso
TIPO K,Turno_B,jueves,Mañana,Medio,48.5,No_sobre_peso
TIPO K,Externo,jueves,Mañana,Término,48.6,Sobre_eso
TIPO K,Externo,jueves,Mañana,Término,48.6,Sobre_eso
TIPO K,Externo,jueves,Mañana,Término,48.6,Sobre_eso
TIPO K,Externo,jueves,Mañana,Término,48.6,Sobre_eso
TIPO K,Externo,jueves,Mañana,Término,48.6,Sobre_eso
TIPO K,Externo,jueves,Mañana,Término,48.6,No_sobre_peso
TIPO K,Externo,jueves,Mañana,Término,48.6,Sobre_eso
TIPO K,Externo,jueves,Mañana,Término,48.6,No_sobre_peso
TIPO K,Externo,jueves,Mañana,Término,48.6,No_sobre_peso
TIPO K,Externo,jueves,Mañana,Término,48.6,Sobre_eso
TIPO K,Externo,jueves,Mañana,Término,48.6,No_sobre_peso
TIPO K,Turno_B,jueves,Mañana,Término,48.6,No_sobre_peso
TIPO K,Turno_B,jueves,Tarde,Inicio,48.2,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Inicio,48.2,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Medio,48.6,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Medio,48.6,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Medio,48.6,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Medio,48.6,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Término,48.3,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Término,48.3,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Término,48.3,Sobre_eso
TIPO K,Turno_C,jueves,Tarde,Término,48.3,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Término,48.3,No_sobre_peso
TIPO K,Turno_C,jueves,Tarde,Término,48.3,No_sobre_peso
TIPO K,Turno_A,viernes,Noche,Inicio,48.5,Sobre_eso
TIPO K,Turno_A,viernes,Noche,Medio,48.9,No_sobre_peso
TIPO K,Turno_A,viernes,Noche,Medio,48.9,No_sobre_peso
TIPO K,Turno_A,viernes,Noche,Medio,48.9,No_sobre_peso
TIPO K,Turno_A,viernes,Noche,Medio,48.9,No_sobre_peso
TIPO K,Turno_A,viernes,Noche,Medio,48.9,Sobre_eso
TIPO K,Turno_A,viernes,Noche,Medio,48.9,No_sobre_peso
TIPO K,Turno_A,viernes,Noche,Medio,48.9,No_sobre_peso
TIPO K,Turno_A,viernes,Noche,Medio,48.9,No_sobre_peso
TIPO K,Turno_A,viernes,Noche,Término,48.7,Sobre_eso
TIPO K,Turno_A,viernes,Noche,Término,48.7,Sobre_eso
TIPO K,Turno_A,viernes,Noche,Término,48.7,No_sobre_peso
TIPO K,Turno_A,viernes,Noche,Término,48.7,No_sobre_peso
TIPO K,Turno_A,viernes,Mañana,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,viernes,Mañana,Inicio,48.7,No_sobre_peso
TIPO K,Turno_A,viernes,Mañana,Inicio,48.7,No_sobre_peso
TIPO K,Turno_A,viernes,Mañana,Inicio,48.7,No_sobre_peso
TIPO K,Turno_A,viernes,Mañana,Inicio,48.7,No_sobre_peso
TIPO K,Turno_A,viernes,Mañana,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,viernes,Mañana,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,viernes,Mañana,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,viernes,Mañana,Inicio,48.7,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Externo,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Externo,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Externo,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Externo,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Externo,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Externo,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Externo,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Externo,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Externo,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Inicio,48.9,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Medio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Término,48.6,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Término,48.6,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Término,48.6,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Término,48.6,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Término,48.6,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Término,48.6,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Término,48.6,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Término,48.6,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Término,48.6,No_sobre_peso
TIPO K,Turno_C,martes,Mañana,Término,48.6,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Término,48.6,Sobre_eso
TIPO K,Turno_C,martes,Mañana,Término,48.6,Sobre_eso
TIPO K,Externo,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,martes,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Externo,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,martes,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Externo,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,martes,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Externo,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Externo,martes,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Turno_C,martes,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Turno_A,martes,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Turno_A,martes,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Turno_A,martes,Tarde,Inicio,48.7,No_sobre_peso
TIPO K,Turno_A,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,martes,Tarde,Inicio,48.7,Sobre_eso
TIPO K,Turno_A,martes,Tarde,Medio,48.5,Sobre_eso
TIPO K,Turno_A,martes,Tarde,Medio,48.5,Sobre_eso
TIPO K,Turno_A,martes,Tarde,Medio,48.5,Sobre_eso
TIPO K,Turno_A,martes,Tarde,Medio,48.5,Sobre_eso
